istatenum;icasenum;ivnumber;ipnumber;iarrhr;iarrmin;sarrtime;iatmcond;icity;iconszone;icounty;saccdate;iaccday;iacchr;iaccmin;iaccmon;iarf1;iarf2;iarf3;sacctime;iaccyr;dayofweek;ihosphr;ihospmin;shosptime;ifhevent;ihitrun;iholiday;heavytruck;latitude;ilatdeg;ilatmin;ilatsec;ilightcond;longitude;ilondeg;ilonmin;ilonsec;imanncol;smilepnt;inhs;inothr;inotmin;snottime;numfatal;inmforms;ipforms;itraflane;ivforms;srxing;ireljunc;irelrdwy;iroadalgn;irfun;iroadprof;isurfcond;isurftype;irtesign;ischlbus;ispejur;ispdlim;icontdev;idevfunc;itrafflow;strafid;strafid2;iage;iairbag;ialcres;ialctst;sdthdate;ideathday;ideathhr;ideathmin;ideathmon;sdthtime;ideathyr;idiedscene;idrugres1;idrugres2;idrugres3;idrugtst1;idrugtst2;idrugtst3;iejection;iejectpath;iextricat;iinjurwrk;ihispanic;iinjury;imethalc;imethdrug;inmlocat;istrikveh;iprf1;iprf2;iprf3;iptype;idruginv;ialcinvol;irace;irestraint;iseatpos;isex;itakehosp;lagtime
6;7;1;8;99;99;9999;1;3260;0;73;1042006;4;19;15;1;0;0;0;1915;2006;4;99;99;9999;25;0;0;0;33.04574444;33;2;4468;3;-117.07313611;117;4;2329;0;251;1;99;99;9999;2;0;8;4;1;0;1;4;1;11;1;1;1;1;0;0;55;0;0;3;I-15;.;21;30;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;9;8;0;0;0;0;0;2;8;8;0;0;53;1;0;99999
6;8;1;1;99;99;9999;1;850;0;65;1042006;4;20;6;1;0;0;0;2006;2006;4;99;99;9999;33;0;0;0;33.86395278;33;51;5023;3;-117.58599444;117;35;958;0;0;0;99;99;9999;1;0;3;2;1;0;1;4;1;15;1;1;2;6;0;0;35;0;0;1;CITRON ST;.;24;1;23;1;0;0;0;0;0;0;0;0;600;603;606;1;1;1;0;0;0;8;0;2;5;7;0;0;0;0;0;1;1;1;0;3;11;1;1;99999
6;8;1;2;99;99;9999;1;850;0;65;1042006;4;20;6;1;0;0;0;2006;2006;4;99;99;9999;33;0;0;0;33.86395278;33;51;5023;3;-117.58599444;117;35;958;0;0;0;99;99;9999;1;0;3;2;1;0;1;4;1;15;1;1;2;6;0;0;35;0;0;1;CITRON ST;.;23;30;18;1;1042006;4;20;6;1;2006;2006;7;1;0;0;1;0;0;1;2;0;0;1;4;9;8;0;0;0;0;0;2;8;8;1;0;21;1;0;0
6;8;1;3;99;99;9999;1;850;0;65;1042006;4;20;6;1;0;0;0;2006;2006;4;99;99;9999;33;0;0;0;33.86395278;33;51;5023;3;-117.58599444;117;35;958;0;0;0;99;99;9999;1;0;3;2;1;0;1;4;1;15;1;1;2;6;0;0;35;0;0;1;CITRON ST;.;22;1;15;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;8;0;2;9;8;0;0;0;0;0;2;8;8;0;3;13;1;1;99999
6;9;1;1;99;99;9999;1;3351;0;59;1042006;4;20;45;1;0;0;0;2045;2006;4;99;99;9999;12;0;0;0;33.71322500;33;42;4761;2;-117.78630278;117;47;1069;1;118;1;99;99;9999;1;0;3;7;2;0;1;4;2;11;2;1;1;1;0;0;65;0;0;3;I-15;.;28;29;16;1;1042006;4;20;45;1;2045;2006;7;401;417;0;1;1;0;1;9;0;0;1;4;5;8;0;0;0;0;0;1;8;1;1;0;11;1;0;0
6;9;1;2;99;99;9999;1;3351;0;59;1042006;4;20;45;1;0;0;0;2045;2006;4;99;99;9999;12;0;0;0;33.71322500;33;42;4761;2;-117.78630278;117;47;1069;1;118;1;99;99;9999;1;0;3;7;2;0;1;4;2;11;2;1;1;1;0;0;65;0;0;3;I-15;.;28;29;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;9;8;0;0;0;0;0;2;8;8;0;0;13;2;1;99999
6;9;2;1;99;99;9999;1;3351;0;59;1042006;4;20;45;1;0;0;0;2045;2006;4;99;99;9999;12;0;0;0;33.71322500;33;42;4761;2;-117.78630278;117;47;1069;1;118;1;99;99;9999;1;0;3;7;2;0;1;4;2;11;2;1;1;1;0;0;65;0;0;3;I-15;.;47;29;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;9;8;0;0;0;0;0;1;8;0;0;3;11;1;0;99999
6;10;1;1;99;99;9999;1;1801;0;65;1042006;4;21;55;1;0;0;0;2155;2006;4;99;99;9999;12;0;0;0;33.65800278;33;39;2881;3;-117.29487222;117;17;4154;1;188;1;99;99;9999;1;0;3;3;2;0;1;1;1;11;1;1;1;1;0;0;70;0;0;3;I-15;.;21;30;18;1;1042006;4;21;55;1;2155;2006;7;695;0;0;1;0;0;0;0;0;0;7;4;5;8;0;0;0;0;0;1;8;1;1;5;11;1;0;0
6;10;2;1;99;99;9999;1;1801;0;65;1042006;4;21;55;1;0;0;0;2155;2006;4;99;99;9999;12;0;0;0;33.65800278;33;39;2881;3;-117.29487222;117;17;4154;1;188;1;99;99;9999;1;0;3;3;2;0;1;1;1;11;1;1;1;1;0;0;70;0;0;3;I-15;.;35;29;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;9;8;0;0;0;0;0;1;8;0;0;3;11;2;1;99999
6;10;2;2;99;99;9999;1;1801;0;65;1042006;4;21;55;1;0;0;0;2155;2006;4;99;99;9999;12;0;0;0;33.65800278;33;39;2881;3;-117.29487222;117;17;4154;1;188;1;99;99;9999;1;0;3;3;2;0;1;1;1;11;1;1;1;1;0;0;70;0;0;3;I-15;.;50;29;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;9;8;0;0;0;0;0;2;8;8;0;3;13;1;0;99999
